# t=time;g=gyro;a=accel;e=euler;c=commanded
# t1,g1,g2,g3,a1,a2,a3,e1,e2,c1,c2,c3,c4,c5
4.073836099999999715e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.073837500000000000e+04,2.400000000000000000e+01,6.553000000000000000e+04,1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073838999999999942e+04,6.550600000000000000e+04,2.400000000000000000e+01,6.552400000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073840499999999884e+04,6.548200000000000000e+04,4.800000000000000000e+01,6.550600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073842100000000210e+04,6.549400000000000000e+04,7.300000000000000000e+01,6.550600000000000000e+04,9.090000000000000000e+02,5.398000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073843400000000111e+04,1.800000000000000000e+01,6.553000000000000000e+04,6.000000000000000000e+00,9.080000000000000000e+02,5.391000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073845300000000134e+04,3.000000000000000000e+01,6.548800000000000000e+04,1.200000000000000000e+01,9.070000000000000000e+02,5.382000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073847000000000116e+04,2.400000000000000000e+01,6.549400000000000000e+04,6.000000000000000000e+00,9.060000000000000000e+02,5.373000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073848300000000017e+04,6.550600000000000000e+04,6.552400000000000000e+04,1.200000000000000000e+01,9.050000000000000000e+02,5.363000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073850000000000000e+04,6.551200000000000000e+04,4.800000000000000000e+01,6.552400000000000000e+04,9.030000000000000000e+02,5.355000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073851299999999901e+04,6.550600000000000000e+04,2.400000000000000000e+01,6.550600000000000000e+04,9.010000000000000000e+02,5.343000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073852799999999843e+04,0.000000000000000000e+00,3.600000000000000000e+01,6.552400000000000000e+04,9.000000000000000000e+02,5.334000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073854200000000128e+04,1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.980000000000000000e+02,5.323000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073856199999999808e+04,0.000000000000000000e+00,6.552400000000000000e+04,3.600000000000000000e+01,8.970000000000000000e+02,5.314000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073857299999999668e+04,0.000000000000000000e+00,6.551200000000000000e+04,6.552400000000000000e+04,8.960000000000000000e+02,5.307000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073858800000000338e+04,6.553000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.950000000000000000e+02,5.297000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073860199999999895e+04,6.552400000000000000e+04,1.800000000000000000e+01,6.553000000000000000e+04,8.940000000000000000e+02,5.289000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073861499999999796e+04,0.000000000000000000e+00,2.400000000000000000e+01,6.551800000000000000e+04,8.920000000000000000e+02,5.278000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073863100000000122e+04,6.551800000000000000e+04,1.800000000000000000e+01,6.552400000000000000e+04,8.900000000000000000e+02,5.267000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073864699999999721e+04,6.553000000000000000e+04,2.400000000000000000e+01,6.553000000000000000e+04,8.890000000000000000e+02,5.260000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073866399999999703e+04,6.551800000000000000e+04,2.400000000000000000e+01,6.000000000000000000e+00,8.880000000000000000e+02,5.253000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073867700000000332e+04,6.000000000000000000e+00,6.553000000000000000e+04,6.000000000000000000e+00,8.870000000000000000e+02,5.245000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073869400000000314e+04,6.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,8.860000000000000000e+02,5.236000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073870999999999913e+04,6.552400000000000000e+04,2.400000000000000000e+01,6.552400000000000000e+04,8.850000000000000000e+02,5.228000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073872699999999895e+04,6.550600000000000000e+04,1.200000000000000000e+01,6.551800000000000000e+04,8.830000000000000000e+02,5.218000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073874300000000221e+04,0.000000000000000000e+00,6.552400000000000000e+04,6.553000000000000000e+04,8.820000000000000000e+02,5.208000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073875899999999820e+04,6.552400000000000000e+04,6.551200000000000000e+04,6.000000000000000000e+00,8.800000000000000000e+02,5.199000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073877500000000146e+04,6.550600000000000000e+04,1.200000000000000000e+01,6.000000000000000000e+00,8.790000000000000000e+02,5.190000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073878899999999703e+04,6.550000000000000000e+04,6.553000000000000000e+04,6.551800000000000000e+04,8.780000000000000000e+02,5.182000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
