# t=time;g=gyro
# t1,g1,g2,g3,g4,g5,g6
4.541508400000000256e+04,3.000000000000000000e+00,3.700000000000000000e+01,2.550000000000000000e+02,7.300000000000000000e+01,0.000000000000000000e+00,2.310000000000000000e+02
4.541508899999999994e+04,4.000000000000000000e+00,1.470000000000000000e+02,2.530000000000000000e+02,2.190000000000000000e+02,0.000000000000000000e+00,1.520000000000000000e+02
4.541509300000000076e+04,4.000000000000000000e+00,6.200000000000000000e+01,2.530000000000000000e+02,1.700000000000000000e+02,0.000000000000000000e+00,6.000000000000000000e+00
4.541510300000000279e+04,4.000000000000000000e+00,1.290000000000000000e+02,2.530000000000000000e+02,1.640000000000000000e+02,0.000000000000000000e+00,3.600000000000000000e+01
4.541510700000000361e+04,4.000000000000000000e+00,2.330000000000000000e+02,2.530000000000000000e+02,1.950000000000000000e+02,2.550000000000000000e+02,2.200000000000000000e+02
4.541511200000000099e+04,5.000000000000000000e+00,9.300000000000000000e+01,2.530000000000000000e+02,1.700000000000000000e+02,2.550000000000000000e+02,2.380000000000000000e+02
4.541511600000000180e+04,5.000000000000000000e+00,6.200000000000000000e+01,2.530000000000000000e+02,1.340000000000000000e+02,2.550000000000000000e+02,2.080000000000000000e+02
4.541512000000000262e+04,5.000000000000000000e+00,1.110000000000000000e+02,2.530000000000000000e+02,8.500000000000000000e+01,2.550000000000000000e+02,2.140000000000000000e+02
4.541513900000000285e+04,5.000000000000000000e+00,1.420000000000000000e+02,2.530000000000000000e+02,6.700000000000000000e+01,2.550000000000000000e+02,2.440000000000000000e+02
4.541514400000000023e+04,5.000000000000000000e+00,1.720000000000000000e+02,2.530000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00,2.400000000000000000e+01
4.541514800000000105e+04,6.000000000000000000e+00,9.300000000000000000e+01,2.520000000000000000e+02,1.390000000000000000e+02,0.000000000000000000e+00,8.500000000000000000e+01
4.541515299999999843e+04,6.000000000000000000e+00,1.180000000000000000e+02,2.520000000000000000e+02,6.600000000000000000e+01,0.000000000000000000e+00,7.300000000000000000e+01
4.541516399999999703e+04,6.000000000000000000e+00,1.360000000000000000e+02,2.520000000000000000e+02,5.400000000000000000e+01,0.000000000000000000e+00,1.150000000000000000e+02
4.541516799999999785e+04,6.000000000000000000e+00,1.420000000000000000e+02,2.520000000000000000e+02,1.100000000000000000e+01,0.000000000000000000e+00,1.400000000000000000e+02
4.541517300000000250e+04,6.000000000000000000e+00,2.270000000000000000e+02,2.510000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,1.830000000000000000e+02
4.541517700000000332e+04,6.000000000000000000e+00,2.460000000000000000e+02,2.510000000000000000e+02,1.820000000000000000e+02,0.000000000000000000e+00,2.010000000000000000e+02
4.541518200000000070e+04,6.000000000000000000e+00,1.420000000000000000e+02,2.510000000000000000e+02,1.700000000000000000e+02,0.000000000000000000e+00,1.580000000000000000e+02
4.541519499999999971e+04,6.000000000000000000e+00,2.340000000000000000e+02,2.510000000000000000e+02,1.760000000000000000e+02,0.000000000000000000e+00,2.380000000000000000e+02
4.541519999999999709e+04,6.000000000000000000e+00,1.660000000000000000e+02,2.510000000000000000e+02,1.510000000000000000e+02,0.000000000000000000e+00,2.130000000000000000e+02
4.541520399999999790e+04,7.000000000000000000e+00,5.100000000000000000e+01,2.510000000000000000e+02,1.450000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+02
4.541520999999999913e+04,6.000000000000000000e+00,2.520000000000000000e+02,2.510000000000000000e+02,9.600000000000000000e+01,1.000000000000000000e+00,7.300000000000000000e+01
4.541522499999999854e+04,7.000000000000000000e+00,1.910000000000000000e+02,2.510000000000000000e+02,1.390000000000000000e+02,1.000000000000000000e+00,6.100000000000000000e+01
4.541523000000000320e+04,7.000000000000000000e+00,1.970000000000000000e+02,2.510000000000000000e+02,7.200000000000000000e+01,1.000000000000000000e+00,1.340000000000000000e+02
4.541523599999999715e+04,8.000000000000000000e+00,2.100000000000000000e+01,2.500000000000000000e+02,1.390000000000000000e+02,1.000000000000000000e+00,1.100000000000000000e+02
4.541524100000000180e+04,7.000000000000000000e+00,2.340000000000000000e+02,2.500000000000000000e+02,6.600000000000000000e+01,1.000000000000000000e+00,7.900000000000000000e+01
4.541525600000000122e+04,8.000000000000000000e+00,1.240000000000000000e+02,2.490000000000000000e+02,2.360000000000000000e+02,1.000000000000000000e+00,1.340000000000000000e+02
4.541525899999999820e+04,8.000000000000000000e+00,2.460000000000000000e+02,2.490000000000000000e+02,1.810000000000000000e+02,1.000000000000000000e+00,1.160000000000000000e+02
4.541526299999999901e+04,9.000000000000000000e+00,9.000000000000000000e+00,2.480000000000000000e+02,1.990000000000000000e+02,1.000000000000000000e+00,6.700000000000000000e+01
4.541526699999999983e+04,9.000000000000000000e+00,1.500000000000000000e+01,2.480000000000000000e+02,1.500000000000000000e+02,1.000000000000000000e+00,7.300000000000000000e+01
4.541528699999999662e+04,8.000000000000000000e+00,2.530000000000000000e+02,2.480000000000000000e+02,1.080000000000000000e+02,1.000000000000000000e+00,1.800000000000000000e+01
4.541529200000000128e+04,9.000000000000000000e+00,7.600000000000000000e+01,2.480000000000000000e+02,7.700000000000000000e+01,1.000000000000000000e+00,1.200000000000000000e+01
4.541529600000000210e+04,1.000000000000000000e+01,2.100000000000000000e+02,2.470000000000000000e+02,1.680000000000000000e+02,0.000000000000000000e+00,1.950000000000000000e+02
4.541530000000000291e+04,1.100000000000000000e+01,6.400000000000000000e+01,2.470000000000000000e+02,1.500000000000000000e+02,0.000000000000000000e+00,1.640000000000000000e+02
4.541530399999999645e+04,1.100000000000000000e+01,1.440000000000000000e+02,2.470000000000000000e+02,8.900000000000000000e+01,0.000000000000000000e+00,1.460000000000000000e+02
4.541532299999999668e+04,1.100000000000000000e+01,2.540000000000000000e+02,2.470000000000000000e+02,7.100000000000000000e+01,0.000000000000000000e+00,1.220000000000000000e+02
4.541532800000000134e+04,1.100000000000000000e+01,2.540000000000000000e+02,2.470000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,1.030000000000000000e+02
4.541533200000000215e+04,1.400000000000000000e+01,9.000000000000000000e+01,2.460000000000000000e+02,1.680000000000000000e+02,0.000000000000000000e+00,9.700000000000000000e+01
4.541533499999999913e+04,1.400000000000000000e+01,1.870000000000000000e+02,2.460000000000000000e+02,1.680000000000000000e+02,0.000000000000000000e+00,1.090000000000000000e+02
4.541535199999999895e+04,1.400000000000000000e+01,2.240000000000000000e+02,2.460000000000000000e+02,1.980000000000000000e+02,0.000000000000000000e+00,1.150000000000000000e+02
4.541535700000000361e+04,1.500000000000000000e+01,8.400000000000000000e+01,2.460000000000000000e+02,1.980000000000000000e+02,0.000000000000000000e+00,2.010000000000000000e+02
4.541536099999999715e+04,1.600000000000000000e+01,1.390000000000000000e+02,2.470000000000000000e+02,6.500000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+01
4.541538399999999820e+04,1.600000000000000000e+01,2.430000000000000000e+02,2.470000000000000000e+02,1.190000000000000000e+02,0.000000000000000000e+00,1.580000000000000000e+02
4.541538799999999901e+04,1.600000000000000000e+01,2.000000000000000000e+02,2.470000000000000000e+02,1.560000000000000000e+02,0.000000000000000000e+00,1.700000000000000000e+02
4.541539199999999983e+04,1.700000000000000000e+01,2.310000000000000000e+02,2.480000000000000000e+02,1.200000000000000000e+02,1.000000000000000000e+00,6.000000000000000000e+00
4.541539600000000064e+04,1.800000000000000000e+01,1.800000000000000000e+01,2.480000000000000000e+02,2.050000000000000000e+02,0.000000000000000000e+00,2.440000000000000000e+02
4.541540099999999802e+04,1.800000000000000000e+01,6.000000000000000000e+00,2.490000000000000000e+02,7.100000000000000000e+01,0.000000000000000000e+00,2.190000000000000000e+02
4.541541500000000087e+04,1.700000000000000000e+01,1.580000000000000000e+02,2.490000000000000000e+02,1.570000000000000000e+02,0.000000000000000000e+00,2.070000000000000000e+02
4.541541999999999825e+04,1.700000000000000000e+01,1.340000000000000000e+02,2.490000000000000000e+02,2.540000000000000000e+02,0.000000000000000000e+00,2.070000000000000000e+02
4.541542399999999907e+04,1.600000000000000000e+01,1.520000000000000000e+02,2.510000000000000000e+02,1.700000000000000000e+02,0.000000000000000000e+00,1.890000000000000000e+02
4.541542799999999988e+04,1.600000000000000000e+01,1.700000000000000000e+02,2.510000000000000000e+02,2.490000000000000000e+02,0.000000000000000000e+00,2.070000000000000000e+02
4.541544299999999930e+04,1.600000000000000000e+01,7.200000000000000000e+01,2.520000000000000000e+02,7.200000000000000000e+01,0.000000000000000000e+00,2.440000000000000000e+02
4.541544799999999668e+04,1.600000000000000000e+01,2.300000000000000000e+01,2.520000000000000000e+02,1.520000000000000000e+02,0.000000000000000000e+00,2.190000000000000000e+02
4.541545300000000134e+04,1.500000000000000000e+01,2.120000000000000000e+02,2.530000000000000000e+02,9.100000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.541545700000000215e+04,1.500000000000000000e+01,2.490000000000000000e+02,2.530000000000000000e+02,2.130000000000000000e+02,1.000000000000000000e+00,6.100000000000000000e+01
4.541547099999999773e+04,1.500000000000000000e+01,2.370000000000000000e+02,2.540000000000000000e+02,2.400000000000000000e+01,0.000000000000000000e+00,2.310000000000000000e+02
4.541547499999999854e+04,1.500000000000000000e+01,6.000000000000000000e+01,2.540000000000000000e+02,4.900000000000000000e+01,0.000000000000000000e+00,1.770000000000000000e+02
