# t=time;g=gyro;a=accel;e=euler;c=commanded
# t1,g1,g2,g3,a1,a2,a3,e1,e2,c1,c2,c3,c4,c5
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.999999997788108885e-03,6.553000000000000000e+04,1.800000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
1.399999999557621777e-02,1.800000000000000000e+01,6.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
2.399999999761348590e-02,0.000000000000000000e+00,1.200000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
3.299999999580904841e-02,6.000000000000000000e+00,2.400000000000000000e+01,6.551800000000000000e+04,1.710000000000000000e+02,6.525200000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
3.999999999359715730e-02,0.000000000000000000e+00,6.000000000000000000e+00,6.553000000000000000e+04,1.710000000000000000e+02,6.524400000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.599999999481951818e-02,6.551800000000000000e+04,0.000000000000000000e+00,1.200000000000000000e+01,1.720000000000000000e+02,6.523800000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
5.500000000029103830e-02,1.200000000000000000e+01,3.000000000000000000e+01,6.000000000000000000e+00,1.720000000000000000e+02,6.523000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
6.199999999807914719e-02,6.000000000000000000e+00,3.000000000000000000e+01,6.552400000000000000e+04,1.730000000000000000e+02,6.522000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
6.899999999586725608e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,1.730000000000000000e+02,6.521200000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
7.599999999365536496e-02,6.553000000000000000e+04,6.000000000000000000e+00,0.000000000000000000e+00,1.740000000000000000e+02,6.520500000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
8.199999999487772584e-02,0.000000000000000000e+00,2.400000000000000000e+01,6.553000000000000000e+04,1.740000000000000000e+02,6.519800000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
8.899999999994179234e-02,0.000000000000000000e+00,3.600000000000000000e+01,6.552400000000000000e+04,1.750000000000000000e+02,6.519000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
9.599999999772990122e-02,6.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00,1.750000000000000000e+02,6.518300000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
1.029999999955180101e-01,6.552400000000000000e+04,1.200000000000000000e+01,1.800000000000000000e+01,1.750000000000000000e+02,6.517600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
1.089999999967403710e-01,6.000000000000000000e+00,1.800000000000000000e+01,6.552400000000000000e+04,1.760000000000000000e+02,6.516900000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
1.159999999945284799e-01,6.000000000000000000e+00,1.200000000000000000e+01,6.553000000000000000e+04,1.760000000000000000e+02,6.516200000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
1.239999999961582944e-01,0.000000000000000000e+00,1.200000000000000000e+01,1.200000000000000000e+01,1.770000000000000000e+02,6.515600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
1.309999999939464033e-01,6.553000000000000000e+04,1.200000000000000000e+01,6.000000000000000000e+00,1.770000000000000000e+02,6.514900000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
1.389999999955762178e-01,6.553000000000000000e+04,1.200000000000000000e+01,0.000000000000000000e+00,1.770000000000000000e+02,6.514300000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
1.479999999937717803e-01,6.000000000000000000e+00,1.800000000000000000e+01,1.200000000000000000e+01,1.780000000000000000e+02,6.513600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
1.549999999988358468e-01,6.553000000000000000e+04,1.800000000000000000e+01,6.000000000000000000e+00,1.780000000000000000e+02,6.512900000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
1.619999999966239557e-01,6.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,1.790000000000000000e+02,6.512200000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
1.709999999948195182e-01,1.200000000000000000e+01,2.400000000000000000e+01,0.000000000000000000e+00,1.790000000000000000e+02,6.511600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
1.779999999998835847e-01,0.000000000000000000e+00,6.000000000000000000e+00,1.200000000000000000e+01,1.790000000000000000e+02,6.510800000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
1.869999999980791472e-01,6.553000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+02,6.509900000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
1.949999999997089617e-01,0.000000000000000000e+00,1.800000000000000000e+01,6.551200000000000000e+04,1.800000000000000000e+02,6.509200000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
2.069999999948777258e-01,0.000000000000000000e+00,1.200000000000000000e+01,6.553000000000000000e+04,1.810000000000000000e+02,6.508600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
2.139999999999417923e-01,6.000000000000000000e+00,6.553000000000000000e+04,1.200000000000000000e+01,1.810000000000000000e+02,6.507700000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
2.239999999947031029e-01,0.000000000000000000e+00,2.400000000000000000e+01,6.552400000000000000e+04,1.820000000000000000e+02,6.507000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
