11:22:22.590,None
11:22:22.600,array('B', [0])
11:22:22.611,array('B', [0])
11:22:22.622,array('B', [0])
11:22:22.633,array('B', [0])
11:22:22.643,array('B', [0])
11:22:22.803,array('B', [0])
11:22:22.814,array('B', [0])
11:22:22.826,array('B', [0])
11:22:22.836,array('B', [0])
11:22:22.847,array('B', [0])
11:22:22.858,array('B', [0])
11:22:22.868,array('B', [0])
11:22:22.879,array('B', [0])
11:22:22.891,array('B', [0])
11:22:22.902,array('B', [0])
11:22:22.913,array('B', [0])
11:22:22.924,array('B', [0])
11:22:22.935,array('B', [49, 197, 200, 203, 165, 177, 254, 248, 129, 14, 6, 0, 0, 0, 0, 0, 0, 0, 0, 165, 165, 165, 165, 165, 165, 165, 165])
11:22:22.946,array('B', [0])
11:22:22.957,array('B', [0])
11:22:22.968,array('B', [0])
11:22:22.979,array('B', [0])
11:22:22.990,array('B', [0])
11:22:23.171,array('B', [0])
11:22:23.183,array('B', [0])
11:22:23.194,array('B', [0])
11:22:23.205,array('B', [0])
11:22:23.216,array('B', [0])
11:22:23.227,array('B', [0])
11:22:23.238,array('B', [0])
11:22:23.249,array('B', [0])
11:22:23.260,array('B', [0])
11:22:23.271,array('B', [0])
11:22:23.282,array('B', [0])
11:22:23.294,array('B', [0])
11:22:23.305,array('B', [0])
11:22:23.316,array('B', [0])
11:22:23.327,array('B', [0])
11:22:23.338,array('B', [0])
11:22:23.343,array('B', [1, 229, 223, 253, 67, 121, 94, 12, 248, 17, 22, 0, 0, 0, 0, 0, 0, 0, 0, 165, 165, 165, 165, 165, 165, 165, 165])
11:22:23.354,array('B', [0])
11:22:23.366,array('B', [0])
11:22:23.538,array('B', [0])
11:22:23.550,array('B', [0])
11:22:23.561,array('B', [0])
11:22:23.572,array('B', [0])
11:22:23.583,array('B', [0])
11:22:23.594,array('B', [0])
11:22:23.606,array('B', [0])
11:22:23.617,array('B', [0])
11:22:23.628,array('B', [0])
11:22:23.639,array('B', [0])
11:22:23.650,array('B', [0])
11:22:23.662,array('B', [0])
11:22:23.673,array('B', [0])
11:22:23.683,array('B', [0])
11:22:23.694,array('B', [0])
11:22:23.706,array('B', [0])
11:22:23.717,array('B', [0])
11:22:23.721,array('B', [1, 222, 68, 233, 54, 147, 11, 18, 78, 249, 103, 0, 0, 0, 0, 0, 0, 0, 0, 165, 165, 165, 165, 165, 165, 165, 165])
11:22:23.732,array('B', [0])
11:22:23.905,array('B', [0])
11:22:23.917,array('B', [0])
11:22:23.928,array('B', [0])
11:22:23.938,array('B', [0])
11:22:23.949,array('B', [0])
11:22:23.960,array('B', [0])
11:22:23.972,array('B', [0])
11:22:23.983,array('B', [0])
11:22:23.994,array('B', [0])
11:22:24.007,array('B', [0])
11:22:24.018,array('B', [0])
11:22:24.029,array('B', [0])
11:22:24.040,array('B', [0])
11:22:24.051,array('B', [0])
11:22:24.063,array('B', [0])
11:22:24.074,array('B', [0])
11:22:24.085,array('B', [0])
11:22:24.264,array('B', [0])
